VendorName,Total_Sales,Total_Purchase,Total_Gross_Profit,Total_Sales_Qty,Total_Purchase_Qty,Profit_Margin_%
AAPER ALCOHOL & CHEMICAL CO,0.0,105.07,-105.07,0.0,1,-inf
ADAMBA IMPORTS INTL INC,67576.22,76770.25,-9194.030000000004,3978.0,4732,-13.605422144061926
ALISA CARR BEVERAGES,113590.18,34951.68,78638.5,982.0,438,69.23001618625835
ALTAMAR BRANDS LLC,15706.81,11706.2,4000.6100000000015,319.0,332,25.470544305304525
AMERICAN SPIRITS EXCHANGE,1719.97,1205.16,514.8099999999998,103.0,132,29.931336011674613
AMERICAN VINTAGE BEVERAGE,190134.63,156357.28,33777.350000000006,14637.0,15778,17.764964751555258
APPOLO VINEYARDS LLC,1616.92,2399.7,-782.7800000000001,108.0,230,-48.411795265071866
ATLANTIC IMPORTING COMPANY,59272.75,41116.32,18156.429999999997,1825.0,1847,30.632002058281415
BACARDI USA INC,25005365.79,17624378.72,7380987.069999999,1457011.0,1427075,29.517612867522065
BANFI PRODUCTS CORP,2645625.22,1628866.68,1016758.54,220930.0,228103,38.43169215025853
BLACK COVE BEVERAGES,6256.87,14465.06,-8208.189999999999,313.0,919,-131.1868394261028
BLACK PRINCE DISTILLERY INC,11697.039999999999,5971.9400000000005,5725.0999999999985,1096.0,807,48.94486126404628
BLACK ROCK SPIRITS LLC,2049.18,1152.1,897.0799999999997,82.0,82,43.777511004401745
BRONCO WINE COMPANY,2400.66,2071.9,328.75999999999993,334.0,433,13.69456732731832
BROWN-FORMAN CORP,18476611.6,13529433.08,4947178.52,983740.0,1006122,26.775355931603816
BULLY BOY DISTILLERS,119484.53,117928.22,1556.309999999995,4447.0,5382,1.3025200835622779
CALEDONIA SPIRITS INC,278648.38,259604.7,19043.679999999993,7162.0,8202,6.834304940154324
CAMPARI AMERICA,5604628.17,4141720.71,1462907.4599999997,490283.0,501284,26.101775454623954
CANDIA VINEYARDS,52623.33,36588.01,16035.319999999998,2567.0,2609,30.471883858357113
CAPSTONE INTERNATIONAL,246.87,54.64,192.23,13.0,4,77.86689350670393
CASTLE BRANDS CORP.,2307511.25,1679383.91,628127.34,103675.0,105220,27.220987113280593
CENTEUR IMPORTS LLC,7474.8099999999995,6237.08,1237.73,619.0,771,16.558681759135016
CHARLES JACQUIN ET CIE INC,450266.16,329637.62,120628.53999999998,43474.0,43947,26.790496536537407
CONSTELLATION BRANDS INC,24467134.23,15573917.9,8893216.33,2301458.0,2325892,36.3476010161244
CRUSH WINES,417131.87,287189.9,129941.96999999999,25173.0,26349,31.151292755454048
Circa Wines,44414.87,42554.340000000004,1860.5300000000002,2443.0,3320,4.18897995198455
DELICATO VINEYARDS INC,2357402.46,1561444.6300000001,795957.8299999998,190356.0,192642,33.7641893357488
DIAGEO CHATEAU ESTATE WINES,2182527.26,1365472.83,817054.43,190742.0,187841,37.436161507554324
DIAGEO NORTH AMERICA INC,68739834.97,50959796.85,17780038.12,5422335.0,5459788,25.865698001398624
DISARONNO INTERNATIONAL LLC,1725259.23,1141947.85,583311.38,103387.0,103095,33.810071545016456
DJINN SPIRITS LLC,56731.23,48830.78,7900.449999999999,2177.0,2637,13.926103840865073
DUGGANS DISTILLED PRODUCTS,202338.62,184296.5,18042.12,15738.0,18814,8.916795024103653
Dunn Wine Brokers,79546.87,72055.3,7491.5699999999915,4063.0,5448,9.417806131152604
E & J GALLO WINERY,18553774.66,12289608.09,6264166.569999999,1808718.0,1858260,33.76222189172583
EDRINGTON AMERICAS,2523778.3,1882832.84,640945.46,58570.0,60527,25.396266383620148
FABRIZIA SPIRITS LLC,396503.92,358390.62,38113.299999999996,25508.0,28071,9.612338763258633
FANTASY FINE WINES CORP,327.59000000000003,128.64,198.95,41.0,24,60.731402057449856
FLAG HILL WINERY & VINEYARD,411807.12,300403.2,111403.91999999998,20788.0,20608,27.052451157231083
FLAVOR ESSENCE INC,1474.41,17.0,1457.41,59.0,1,98.84699642568891
FORTUNE WINE BROKERS LLC,72842.01,46940.17,25901.84,4699.0,5072,35.558930897156735
FREDERICK WILDMAN & SONS,1127940.96,759449.24,368491.72000000003,68928.0,70932,32.66941560487351
FULCHINO VINEYARD INC,14441.64,11147.77,3293.869999999999,836.0,949,22.808143673433204
GILMANTON WINERY & VINEYARD,3837.6,5393.040000000001,-1555.44,240.0,516,-40.53158223889932
HAUNTING WHISPER VYDS,7325.889999999999,5388.58,1937.31,611.0,669,26.44470501195077
HEAVEN HILL DISTILLERIES,3818152.31,2816661.94,1001490.3699999999,342609.0,352348,26.22971240243687
HIGHLAND WINE MERCHANTS LLC,1533.68,5500.32,-3966.64,82.0,372,-258.6354389442387
"HOOD RIVER DISTILLERS, Inc.",29380.8,24035.96,5344.840000000004,1270.0,1137,18.191608125034048
INCREDIBREW INC,35508.520000000004,24525.84,10982.68,2698.0,2786,30.929703631691773
"IRA GOLDMAN AND WILLIAMS, LLP",1265.58,5630.88,-4365.299999999999,42.0,328,-344.9248565874934
JEWELL TOWNE VINEYARDS,85230.82,54332.37,30898.45,6318.0,6630,36.25267244876912
JIM BEAM BRANDS COMPANY,31898621.16,24203151.05,7695470.11,2629964.0,2737165,24.124773517326542
KLIN SPIRITS LLC,147675.94,103484.29,44191.649999999994,6606.0,6840,29.924746035136117
